FIELD1,ds,yhat_lower,yhat_upper,yhat
0,1989-01-02,-3277.513852168866,4745.68006262348,638.2710575637809
1,1989-01-04,-3331.938405729642,4859.95134297032,662.633573751496
2,1989-01-05,-3548.546191683584,5046.658904485533,698.4170075209072
3,1989-01-06,-3492.1677452360072,4861.293207170149,670.3321322873343
4,1989-01-09,-3213.100709343281,4749.850133512982,714.4660428816235
5,1989-01-10,-3363.1699447450446,4754.557689577849,725.065612237994
6,1989-01-11,-3307.3770084244325,5001.875144707648,715.2602185074707
7,1989-01-12,-3224.9625466698653,4871.585589302351,738.2118525760252
8,1989-01-13,-3678.336383301564,5064.363826523829,696.8759344365465
9,1989-01-16,-3481.5321344202744,5035.64782243606,701.0203323001033
10,1989-01-17,-3660.783325982443,4733.216449906115,698.985291257934
11,1989-01-18,-3117.0561994934533,4729.939858057843,677.2694261983129
12,1989-01-19,-3819.073495534895,4892.100382968181,689.2438193156568
13,1989-01-20,-3484.865733218813,4722.404630684601,638.0550644380949
14,1989-01-23,-3583.116760779182,5062.5297518317875,620.9420112039727
15,1989-01-25,-3520.3484051473483,4694.93753779028,590.9790414632703
16,1989-01-27,-3532.3265479147135,4420.497198087609,552.2668956495058
17,1989-01-30,-3616.6286022416953,4829.09898905044,547.5953695101566
18,1989-01-31,-3628.7016391298134,5004.624055295568,548.4026742335168
19,1989-02-01,-3378.2349184678924,4800.463407017416,532.2393729549688
20,1989-02-02,-3386.64258487307,4756.665010916878,552.2790801188502
21,1989-02-03,-3336.374873178771,4456.520883440112,511.4162817643438
22,1989-02-06,-3788.971840971194,4371.227473253475,535.6203520662855
23,1989-02-07,-3533.2128987351152,4629.568460194514,545.598761488769
24,1989-02-08,-3724.152486828435,4543.723148623655,537.9702037222039
25,1989-02-09,-3797.6490821543753,4569.783494270163,565.6790818208381
26,1989-02-10,-3798.536350158418,4543.181301684551,531.4087111721348
27,1989-02-13,-3422.0889827867954,4649.862285584661,567.1820743810288
28,1989-02-14,-3597.2125551736544,4567.217751768562,577.8460206670251
29,1989-02-15,-4019.3120763740963,4631.18858341885,569.1840617835753
30,1989-02-16,-3662.437062793601,4707.56428738286,594.1149762529767
31,1989-02-17,-3759.0758445645283,4562.635117444617,555.3340699498751
32,1989-02-20,-3670.0470966965595,4492.52686525082,567.856424643787
33,1989-02-21,-3821.6759049494613,4974.081832206543,567.9310445418323
34,1989-02-22,-3578.0915468359435,4450.079822267349,547.5400596018095
35,1989-02-23,-3599.1960639867607,4885.293905319845,559.8109191055958
36,1989-02-24,-3474.2473828046677,4761.833404853949,507.6691849631999
37,1989-02-25,-3677.687643044712,4734.80952815876,495.9970447819145
38,1989-02-28,-3671.6781686162417,4818.255073279343,464.90934974064305
39,1989-03-01,-3670.812741335874,4562.398980800142,431.52511004393705
40,1989-03-02,-3570.0741264548396,4704.642685402182,431.6618509101957
41,1989-03-03,-4137.011784424417,4525.824635610726,368.48669926073495
42,1989-03-07,-4177.193094782898,4372.4782217659495,296.70160315289723
